,Website,Room Type,Guest,CheckIn,ChakOut,price
127,Hotels.com,3 Bedroom Hilltop Pool Villa - Bed And Breakfast,2,"Sat, 6 May","Sat, 6 May","US$3,106"
128,Hotels.com,3 Bedroom Ocean View Pool Villa - Bed And Breakfast,2,"Sat, 6 May","Sat, 6 May","US$3,371"
129,Hotels.com,3 Bedroom Beachfront Pool Villa - Bed And Breakfast,2,"Sat, 6 May","Sat, 6 May","US$3,660"
130,Hotels.com,"Family Villa, 1 King Bed - Bed And Breakfast",2,"Sat, 6 May","Sat, 6 May","US$1,200"
131,Hotels.com,3 Bedroom Hilltop Pool Villa - Bed And Breakfast,2,"Sat, 6 May","Sat, 6 May","US$3,103"
132,Hotels.com,3 Bedroom Ocean View Pool Villa - Bed And Breakfast,2,"Sat, 6 May","Sat, 6 May","US$3,368"
133,Hotels.com,3 Bedroom Beachfront Pool Villa - Bed And Breakfast,2,"Sat, 6 May","Sat, 6 May","US$3,657"
134,Hotels.com,Family Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$1,201"
135,Hotels.com,Family Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$1,294"
136,Hotels.com,Three-Bedroom Pool Villa with Ocean View,2,"Sat, 6 May","Sat, 6 May","US$2,972"
137,Hotels.com,Three Bedroom Pool Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$3,107"
138,Hotels.com,Three Bedroom Pool Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$3,199"
139,Hotels.com,Three Bedroom Pool Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$3,292"
140,Hotels.com,Three Bedroom Ocean View Pool Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$3,373"
141,Hotels.com,Three Bedroom Ocean View Pool Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$3,465"
142,Hotels.com,Three Bedroom Ocean View Pool Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$3,557"
143,Hotels.com,Three Bedroom Beachfront Pool Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$3,661"
144,Hotels.com,Three Bedroom Beachfront Pool Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$3,754"
145,Hotels.com,Three Bedroom Beachfront Pool Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$3,846"
146,Expedia.com,"Family Villa, 1 King Bed - Bed And Breakfast",2,"Sat, 6 May","Sat, 6 May","US$1,201"
147,Expedia.com,3 Bedroom Hilltop Pool Villa - Bed And Breakfast,2,"Sat, 6 May","Sat, 6 May","US$3,106"
148,Expedia.com,3 Bedroom Ocean View Pool Villa - Bed And Breakfast,2,"Sat, 6 May","Sat, 6 May","US$3,371"
149,Expedia.com,3 Bedroom Beachfront Pool Villa - Bed And Breakfast,2,"Sat, 6 May","Sat, 6 May","US$3,660"
150,Expedia.com,"Family Villa, 1 King Bed - Bed And Breakfast",2,"Sat, 6 May","Sat, 6 May","US$1,200"
151,Expedia.com,3 Bedroom Hilltop Pool Villa - Bed And Breakfast,2,"Sat, 6 May","Sat, 6 May","US$3,103"
152,Expedia.com,3 Bedroom Ocean View Pool Villa - Bed And Breakfast,2,"Sat, 6 May","Sat, 6 May","US$3,368"
153,Expedia.com,3 Bedroom Beachfront Pool Villa - Bed And Breakfast,2,"Sat, 6 May","Sat, 6 May","US$3,657"
154,Expedia.com,Family Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$1,201"
155,Expedia.com,Family Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$1,294"
156,Expedia.com,Three-Bedroom Pool Villa with Ocean View,2,"Sat, 6 May","Sat, 6 May","US$2,972"
157,Expedia.com,Three Bedroom Pool Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$3,107"
158,Expedia.com,Three Bedroom Pool Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$3,199"
159,Expedia.com,Three Bedroom Pool Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$3,292"
160,Expedia.com,Three Bedroom Ocean View Pool Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$3,373"
161,Expedia.com,Three Bedroom Ocean View Pool Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$3,465"
162,Expedia.com,Three Bedroom Ocean View Pool Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$3,557"
163,Expedia.com,Three Bedroom Beachfront Pool Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$3,661"
164,Expedia.com,Three Bedroom Beachfront Pool Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$3,754"
165,Expedia.com,Three Bedroom Beachfront Pool Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$3,846"
166,Agoda,"Family Villa, 1 King Bed - Bed And Breakfast",2,"Sat, 6 May","Sat, 6 May","US$1,201"
167,Agoda,3 Bedroom Hilltop Pool Villa - Bed And Breakfast,2,"Sat, 6 May","Sat, 6 May","US$3,106"
168,Agoda,3 Bedroom Ocean View Pool Villa - Bed And Breakfast,2,"Sat, 6 May","Sat, 6 May","US$3,371"
169,Agoda,3 Bedroom Beachfront Pool Villa - Bed And Breakfast,2,"Sat, 6 May","Sat, 6 May","US$3,660"
170,Agoda,"Family Villa, 1 King Bed - Bed And Breakfast",2,"Sat, 6 May","Sat, 6 May","US$1,200"
171,Agoda,3 Bedroom Hilltop Pool Villa - Bed And Breakfast,2,"Sat, 6 May","Sat, 6 May","US$3,103"
172,Agoda,3 Bedroom Ocean View Pool Villa - Bed And Breakfast,2,"Sat, 6 May","Sat, 6 May","US$3,368"
173,Agoda,3 Bedroom Beachfront Pool Villa - Bed And Breakfast,2,"Sat, 6 May","Sat, 6 May","US$3,657"
174,Agoda,Family Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$1,201"
175,Agoda,Family Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$1,294"
176,Agoda,Three-Bedroom Pool Villa with Ocean View,2,"Sat, 6 May","Sat, 6 May","US$2,972"
177,Agoda,Three Bedroom Pool Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$3,107"
178,Agoda,Three Bedroom Pool Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$3,199"
179,Agoda,Three Bedroom Pool Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$3,292"
180,Agoda,Three Bedroom Ocean View Pool Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$3,373"
181,Agoda,Three Bedroom Ocean View Pool Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$3,465"
182,Agoda,Three Bedroom Ocean View Pool Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$3,557"
183,Agoda,Three Bedroom Beachfront Pool Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$3,661"
184,Agoda,Three Bedroom Beachfront Pool Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$3,754"
185,Agoda,Three Bedroom Beachfront Pool Villa king bed,2,"Sat, 6 May","Sat, 6 May","US$3,846"
186,Hotels.com,"Family Villa, 1 King Bed - Bed And Breakfast",2,"Sun, 7 May","Sun, 7 May","US$1,201"
187,Hotels.com,3 Bedroom Hilltop Pool Villa - Bed And Breakfast,2,"Sun, 7 May","Sun, 7 May","US$3,106"
188,Hotels.com,3 Bedroom Ocean View Pool Villa - Bed And Breakfast,2,"Sun, 7 May","Sun, 7 May","US$3,371"
189,Hotels.com,3 Bedroom Beachfront Pool Villa - Bed And Breakfast,2,"Sun, 7 May","Sun, 7 May","US$3,660"
190,Hotels.com,"Family Villa, 1 King Bed - Bed And Breakfast",2,"Sun, 7 May","Sun, 7 May","US$1,200"
191,Hotels.com,3 Bedroom Hilltop Pool Villa - Bed And Breakfast,2,"Sun, 7 May","Sun, 7 May","US$3,103"
192,Hotels.com,3 Bedroom Ocean View Pool Villa - Bed And Breakfast,2,"Sun, 7 May","Sun, 7 May","US$3,368"
193,Hotels.com,3 Bedroom Beachfront Pool Villa - Bed And Breakfast,2,"Sun, 7 May","Sun, 7 May","US$3,657"
194,Hotels.com,Family Villa king bed,2,"Sun, 7 May","Sun, 7 May","US$1,201"
195,Hotels.com,Family Villa king bed,2,"Sun, 7 May","Sun, 7 May","US$1,294"
196,Hotels.com,Three-Bedroom Pool Villa with Ocean View,2,"Sun, 7 May","Sun, 7 May","US$2,972"
197,Hotels.com,Three Bedroom Pool Villa king bed,2,"Sun, 7 May","Sun, 7 May","US$3,107"
198,Hotels.com,Three Bedroom Pool Villa king bed,2,"Sun, 7 May","Sun, 7 May","US$3,199"
199,Hotels.com,Three Bedroom Pool Villa king bed,2,"Sun, 7 May","Sun, 7 May","US$3,292"
200,Hotels.com,Three Bedroom Ocean View Pool Villa king bed,2,"Sun, 7 May","Sun, 7 May","US$3,373"
201,Hotels.com,Three Bedroom Ocean View Pool Villa king bed,2,"Sun, 7 May","Sun, 7 May","US$3,465"
202,Hotels.com,Three Bedroom Ocean View Pool Villa king bed,2,"Sun, 7 May","Sun, 7 May","US$3,557"
203,Hotels.com,Three Bedroom Beachfront Pool Villa king bed,2,"Sun, 7 May","Sun, 7 May","US$3,661"
204,Hotels.com,Three Bedroom Beachfront Pool Villa king bed,2,"Sun, 7 May","Sun, 7 May","US$3,754"
